iter	Passed	Remaining
0	55	55070
1	55	27743
2	56	18635
3	56	14079
4	57	11358
5	57	9552
6	58	8249
7	58	7270
8	59	6511
9	59	5900
10	60	5401
11	60	4985
12	61	4632
13	61	4330
14	61	4068
15	62	3838
16	62	3637
17	63	3459
18	63	3298
19	64	3152
20	64	3022
21	65	2903
22	65	2794
23	66	2694
24	66	2602
25	67	2517
26	67	2440
27	68	2366
28	68	2304
29	69	2242
30	69	2183
31	70	2128
32	70	2077
33	71	2028
34	71	1981
35	72	1936
36	72	1895
37	73	1855
38	73	1818
39	74	1783
40	74	1750
41	75	1720
42	75	1691
43	76	1661
44	77	1634
45	77	1607
46	77	1580
47	78	1555
48	78	1531
49	79	1507
50	79	1485
51	80	1464
52	80	1446
53	81	1427
54	82	1410
55	82	1392
56	83	1375
57	83	1358
58	84	1342
59	84	1325
60	85	1309
61	85	1294
62	86	1279
63	86	1265
64	87	1252
65	87	1239
66	88	1225
67	88	1212
68	88	1199
69	89	1187
70	89	1175
71	90	1163
72	90	1152
73	91	1141
74	91	1131
75	92	1120
76	92	1110
77	93	1100
78	93	1091
79	94	1082
80	94	1073
81	95	1064
82	95	1053
83	95	1044
84	96	1036
85	96	1028
86	97	1020
87	97	1013
88	98	1005
89	98	998
90	99	991
91	99	985
92	100	978
93	100	971
94	101	965
95	101	958
96	102	952
97	102	945
98	103	939
99	103	933
100	104	927
101	104	921
102	105	916
103	105	910
104	106	906
105	106	901
106	107	896
107	107	891
108	108	886
109	108	881
110	109	876
111	109	871
112	110	866
113	110	861
114	111	856
115	111	852
116	112	847
117	112	843
118	113	839
119	113	835
120	114	830
121	114	825
122	115	821
123	115	817
124	116	812
125	116	808
126	116	804
127	117	800
128	118	798
129	118	795
130	119	791
131	119	788
132	120	784
133	120	780
134	121	777
135	121	774
136	122	770
137	122	767
138	123	763
139	123	760
140	124	757
141	124	753
142	125	750
143	125	747
144	126	744
145	126	741
146	127	738
147	127	735
148	128	732
149	128	729
150	129	726
151	129	724
152	130	721
153	130	719
154	131	716
155	132	714
156	132	711
157	133	708
158	133	706
159	134	703
160	134	700
161	134	697
162	135	694
163	135	692
164	136	689
165	136	687
166	137	686
167	138	683
168	138	681
169	139	680
170	139	677
171	140	674
172	140	672
173	141	670
174	141	667
175	142	665
176	142	662
177	143	660
178	143	658
179	144	656
180	144	654
181	145	652
182	145	650
183	146	648
184	146	646
185	147	644
186	147	642
187	148	640
188	148	638
189	149	636
190	149	634
191	150	632
192	150	630
193	151	628
194	151	626
195	152	624
